TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
27.631746032,0,0.26059,0.160205,0.310731,2.81579,0.193957,0.264041,0.128774,0.555365,0.0656933,0.896009,1.22486
27.678185941,0,0.295582,0.17384,0.348398,2.35562,0.189112,0.406878,0.0487715,0.57352,0.0333713,1.07198,1.31076
27.724625850,0,0.147521,0.18291,0.219991,2.32236,0.0995054,0.636734,0.0643333,0.657026,0.0254862,1.23813,1.48521
27.771065760,0,0.0213747,0.231909,0.136372,2.38006,0.0610884,0.614295,0.292832,0.746836,0.0598546,1.31151,1.45036
27.817505669,0,0.0324039,0.325424,0.16107,2.49748,0.0147892,0.582805,0.334752,0.315647,0.134321,1.01454,0.656216
27.863945578,0.0837927,0.0478977,0.284077,0.366483,2.92366,0,0.338669,0.366862,0.202004,0.0462014,0.571365,0.226892
27.910385488,0.153587,0.0851508,0.144785,0.598726,2.75914,0,0.472293,0.559212,0.71278,0.00421805,0.967839,0.061152
27.956825397,0,0.453191,0.316795,0.566057,2.26537,0.26516,0.124117,0.599063,0.834866,0.00680165,1.3164,0.420523
28.003265306,0,0.525384,1.06815,0.539175,1.00083,0.310655,0.26073,0.542304,0.821354,0.00603936,1.5647,0.447582
28.049705215,0,0.415095,0.625599,0.450185,0.698642,0.180043,0.460896,0.640317,0.876184,0.0185094,2.0319,0.415125
28.096145125,0,0.251245,0.193982,1.51697,0.377033,0.00188056,0.580695,0.584509,0.547645,0.0540786,1.85904,0.363599
28.142585034,0,0.218241,0.263765,2.31479,0.225421,0.000990852,0.553104,0.581038,0.227573,0.144774,1.34315,0.188816
28.189024943,0,0.195616,1.16157,1.93231,0.157778,0.252717,0.310784,0.602891,0,0.0975084,1.4433,0.0393461
28.235464853,0.135455,0.00929648,1.35173,1.37878,0.156837,0.725436,0.317709,0.635678,1.0439,0.114742,1.39356,0.00329137
28.281904762,0.212634,0.205881,1.99713,0.956629,0.13065,0.484465,0.303556,0.467857,1.09617,0.357919,1.09533,0.000206945
28.328344671,0.208957,0.295388,2.9332,0.00862477,0.21761,0.713329,0.291042,0.100915,0.711529,0.83125,0.90884,0.0736301
28.374784580,0.108386,0.226687,2.76785,0.00525438,0.251617,1.06601,0.376425,0.0959655,0.346026,0.532265,1.91277,0.126134
28.421224490,0,0.0600509,2.19949,0.00502235,0.216454,0.791213,0.659162,0.12144,0.0796054,0.294498,2.89449,0.256994
28.467664399,0,0.00451608,1.39964,0.00627499,0.147487,0.746887,0.910926,0.0400294,0.0284387,0.124707,3.07853,0.193836
28.514104308,0.891066,0.0576619,0.755496,1.1254,0.160187,0.74897,0.734474,0.0274687,0.0332172,0.476934,1.68987,0.0665499
28.560544218,2.15264,0.230388,0.12764,1.66945,0.175222,0.689635,0.198189,0.39118,0.180559,0.914454,0.189259,0.407074
28.606984127,2.55939,0.0965282,0.121904,1.49943,0.34843,0.546799,0.0465805,0.876223,0.191982,0.812507,0.298984,0.274642
28.653424036,2.23229,0.295429,0.117727,1.20079,0.427925,0.737656,0.0850278,1.33305,0.0335444,0.990663,0.177897,0.39185
28.699863946,1.90151,0.0964608,0.118301,1.07227,0.131831,0.895378,0.539455,1.40868,0,1.18568,0.043054,0.891409
28.746303855,1.45165,0,0.138156,0.576368,0.102002,1.05129,1.02696,1.56258,0.00153705,0.704231,0.00049398,1.69825
28.792743764,0.629157,0.00301328,0.152056,0,0.712755,1.00638,1.03639,1.57491,0.0108326,0.184793,0.000920935,2.58041
28.839183673,0.640279,0.152288,0.14157,0,1.06641,0.881316,1.15388,1.54742,0.0096772,0.108891,0.304965,2.71364
28.885623583,0.507457,0.204729,0.37563,0.131638,0.680896,1.06535,1.3105,1.37111,0.0351604,0.282815,0.00145356,2.80636
28.932063492,0.210763,0.320526,0.253922,0.420163,0.0578064,0.745654,2.14557,0.603492,0.068735,0.527677,0.013242,2.82642
28.978503401,0.138781,0.11175,0.166954,1.41922,0.0213264,0.490236,2.47602,0.182932,0.0701071,0.269301,0.0116084,3.21329
29.024943311,0.0331746,0.00323892,0.15467,2.35539,0.0605817,0.51135,2.1006,0.0318105,0.0424113,0.0809814,0.162136,3.17521
29.071383220,0.0122628,0.00199145,0.166338,2.42936,0.0752867,0.300408,1.66723,0.085228,0.311205,0.0971321,0.329521,3.03047
29.117823129,0,0.00106904,0.259869,2.08009,0.128696,0.221359,1.67882,0.286804,0.475975,0.089537,0.347485,2.77403
29.164263039,0.506382,0.0987298,0.252074,2.01547,0.0335478,0.098029,1.77372,0.329212,0.455657,0.116392,0.0637618,2.88217
29.210702948,1.15083,0.0108114,0.230558,1.76863,0.00972022,0.0627178,1.73178,0.251806,0.183414,0.374899,0.10404,2.89135
29.257142857,1.34327,0.00358411,0.180318,1.77603,0,0.0256692,1.47764,0.652927,0.219023,0.54618,0.050348,2.59811
29.303582766,1.58601,0.00231466,0.191236,1.77912,0.145097,0.131704,1.43845,1.12628,0.0948683,0.554356,0.00172846,1.61996
29.350022676,1.52689,0.190146,0.150699,1.53288,0.152403,0.340063,0.706127,1.36144,0.110421,0.452817,0.103046,1.04896
29.396462585,0.884302,0.169834,0.621969,0.547454,1.64011,0.239817,0.881822,0.855807,0.506945,0.919654,0.115584,0.719711
29.442902494,0.58131,0.230387,0.838011,0.263765,2.46728,0.19887,0.450806,0.154006,0.662666,1.12787,0.122308,1.33276
29.489342404,0.250808,0.0102891,0.714813,0.373241,2.66658,0.23175,0.195347,0.0927164,1.35225,0.661189,0.00236367,2.02834
29.535782313,0.114206,0.00315066,0.664083,0.426195,2.8934,0.173338,0.106625,0.0986042,1.8294,0.29034,0.00245666,2.28211
29.582222222,0.069108,0.00254938,0.660591,0.551791,3.20245,0.0728218,0.156971,0.0759483,1.99574,0.460365,0.00319831,2.3713
29.628662132,0.109771,0.00231576,0.650678,0.268123,3.09246,0,0.329392,0.0224377,2.27957,0.641522,0.00390297,2.42401
29.675102041,0.159031,0.00105989,0.621335,0.0511688,3.09861,0,0.47652,0.00282742,2.40545,0.257625,0.0300615,2.31007
29.721541950,0.198383,0.0729561,0.590006,0.0718306,2.77142,0.0798495,0.638322,0.00559656,2.38637,0.294505,0.0474436,2.23451
29.767981859,0.401955,0.242874,0.807707,0.0847941,2.65357,0.147752,0.56418,0.000310584,2.38859,0.240936,0.0428862,2.17167
29.814421769,0.0683548,0.113116,0.750692,0.436789,2.68715,0.182296,0.631962,0.00617919,2.29023,0.203121,0.00851605,2.39973
29.860861678,0.439983,0.00175293,0.498574,1.18131,1.73214,0.178609,0.680018,0.0311164,1.19923,0.44362,0,2.30013
29.907301587,1.4474,0.00214673,0.303267,1.33545,1.04696,0.204398,1.05634,0.101247,0.532367,0.742584,0.150224,1.15229
29.953741497,1.94415,0.0028794,0.216423,1.46997,0.491853,0.222794,1.25092,0.159983,0.421647,0.773419,0.0610096,0.854516
30.000181406,1.72909,0.00248739,0.0590093,1.22858,0.705076,0.406378,1.31512,0.920819,0.000420574,0.663803,0.079918,1.07116
30.046621315,1.2727,0.144302,0.317893,0.434528,1.05163,0.599604,0.873337,1.33935,0.000221654,0.593006,0.310463,1.01298
30.093061224,1.00281,0.170588,0.566662,0.0775112,1.29641,0.447461,0.515142,1.61321,0.281579,0.32569,0.735568,0.88833
30.139501134,0.794465,0.264745,0.276086,0.473978,1.56191,0.198971,0.310824,1.59097,0.142172,0.408259,0.707162,1.06496
30.185941043,0.530841,0.232437,0.145816,0.746105,1.76925,0.0647375,0.34555,1.63263,0.259649,1.09404,0.446847,0.835935
30.232380952,0.119457,0.413019,0.162103,1.0118,1.94771,0.0829269,0.26185,1.5701,0.150875,1.76111,0.434589,0.635067
30.278820862,0,0.949047,0.133185,1.02621,1.92569,0.0676892,0.187487,1.25158,0.100016,2.04073,0.345191,0.886909
30.325260771,0,1.36927,0.0923403,0.923603,2.14589,0,0.116393,0.957682,0.22969,1.97603,0.317768,1.06672
30.371700680,0,1.51,0.279908,0.626529,2.17079,0,0.1021,1.1953,0.567495,1.57827,0.35181,1.05302
30.418140590,0,1.72841,0.278485,0.502838,1.93756,0,0.260677,1.38364,0.786792,1.09607,0.168467,1.00336
30.464580499,0.703486,2.35577,0.00861455,0.330942,1.06714,0.0191231,0.462438,1.25648,0.889193,0.657121,0.440685,1.27383
30.511020408,1.45778,1.2003,0.00631231,0.894828,0.775429,0.00884954,0.594827,1.03283,0.678196,0.676721,0.0962071,0.890037
30.557460317,1.51439,0.373174,0.00424118,1.04138,0.614467,0.0600217,0.537712,0.803912,0.610002,0.508753,0.149448,0.866083
30.603900227,1.41468,0.18242,0.00569136,0.849113,0.716419,0.0262155,0.639252,0.85578,1.00077,0.425829,0.121059,0.796921
30.650340136,0.848105,0.224086,0.00645371,0.524743,1.33207,0.018337,0.941032,1.02628,1.17944,0.309003,0.12391,1.0318
30.696780045,0.205925,0.24118,0.262901,0.248404,1.88005,0.018105,0.871815,1.03328,1.36584,0.0443298,0.226904,1.9102
30.743219955,0.127942,0.218679,0.428728,0.110053,2.21331,0.0162622,0.962204,0.645133,1.86954,0.0159816,0.497337,2.14245
30.789659864,0.0608048,0.177634,0.200934,0.177758,2.2198,0.0324426,1.1263,0.277255,2.00419,0.0318847,0.517622,2.3814
30.836099773,0.118418,0.221404,0.254225,0.686401,1.51931,0.0360182,1.92926,0.0301144,1.2815,0,0.232123,2.74757
30.882539683,0.411644,0.243358,0.444153,1.2156,0.490661,0.0252273,2.44699,0.0450058,0.438572,0.821613,0.670132,2.14389
30.928979592,0.501121,0.0279647,0.260518,1.38441,0.0933335,0.251171,2.63497,0.0727447,0.452923,1.07618,0.61957,1.28967
30.975419501,0.172201,0.000357546,0.222729,1.86609,0.072388,0.220756,2.15275,0.0350242,0.167063,1.00188,0.445286,2.06398
31.021859410,0.0956714,0.000440752,0.183941,2.01916,0.0626454,0.171493,1.70366,0.00473788,0.104936,0.73003,0.389019,3.02516
31.068299320,0.000941605,0.000138881,0.289783,2.08625,0.0526274,0.105886,1.86661,0,0.100545,0.457486,0.400449,3.40506
31.114739229,0.358902,0.0265772,0.409061,1.46261,0.0214207,0.17608,1.91783,0.00895587,0.411758,0.562146,0.0703252,3.18309
31.161179138,0.747428,0.00203101,0.638068,0.642727,0.0349821,0.424885,1.79954,0.196591,0.592589,0.494409,0.474713,2.44103
31.207619048,1.31682,0.0022178,0.795892,0.400309,0.0634099,0.432311,1.76256,0.274291,0.427553,0.361109,0.600932,1.98947
31.254058957,1.57633,0.187518,0.958113,0.128582,0.0822017,0.514149,1.54009,0.550995,0.302487,0.39907,0.3311,1.25884
31.300498866,1.48667,0.143369,0.96792,0.0863602,0.166288,0.334758,1.28846,0.750393,0.0571377,0.731536,0.5968,0.61432
31.346938776,1.08465,0,0.336544,0.532064,0.332994,0.430419,1.05672,0.568481,0.0544714,0.813933,0.878771,0.843621
31.393378685,0.935841,0,0.187334,0.776994,0.382578,0.364754,1.0206,0.916581,0.0931807,0.362271,1.36414,1.27531
31.439818594,0.694988,0.0304369,0.147458,0.347949,0.212104,0.604273,1.33182,0.845728,0.0975904,0.11599,1.51025,2.19024
31.486258503,0.625583,0.10832,0.348034,0.27002,0.275665,0.411888,1.13522,0.79163,0.212239,0.107285,1.32999,2.50898
31.532698413,0.44593,0.287043,0.675332,0.291531,0.685161,0.250403,0.940676,0.65828,0.165461,0.17126,0.701776,2.68129
31.579138322,0.409173,0.37377,1.00753,0.502503,1.3675,0.302899,0.721601,0.451998,0.56603,0.196011,0.0940162,2.79762
31.625578231,0.200995,0.0445081,0.808479,0.736796,1.70898,0.259042,0.894794,0.00126189,0.68308,0.796775,0.0357676,2.98249
31.672018141,0.776089,0.00859557,0.751148,0.638403,1.65753,0.102616,1.07677,0.0218043,1.10099,0.824534,0.198069,2.59288
31.718458050,0.891743,0.0683795,0.462793,0.458625,1.83121,0.0121732,1.10194,0.0155207,1.43732,0.587254,0.303311,2.05165
31.764897959,0.434508,0.0902858,0.161221,1.17767,1.98334,0.00860528,0.996856,0.00114594,1.67312,0.0604068,0.193326,2.01843
31.811337868,0.259374,0.0818501,0.106638,1.51435,1.8866,0.0160896,0.701355,0.587308,1.49504,0.0704942,0.108532,1.68587
31.857777778,0.577049,0.118961,0,1.69006,1.69017,0.151878,0.656339,0.54744,1.46315,0.0741598,0.0782884,1.27572
31.904217687,0.634085,0.0615556,0.00542884,1.63699,1.32587,0.312114,0.572855,0.424143,1.46182,0.0124156,0.0793614,1.41891
31.950657596,0.493682,0.00153715,0.00109371,1.49203,1.164,0.31629,0.424076,0.249376,2.11734,0.0172621,0.11051,2.15947
